id;name;capital;coords
SVN;Slovenia;Ljubljana;46.055556,14.508333
FIN;Finland;Helsinki;60.170833,24.9375
SVK;Slovakia;Bratislava;48.143889,17.109722 
CZE;Czech Republic;Prague;50.083333,14.416667
ERI;Eritrea;Asmara;15.322778,38.925
JPN;Japan;Tokyo;35.689722,139.692222
PRY;Paraguay;Asunción;-25.3,-57.633333
YEM;Yemen;Sanaa;15.348333,44.206389
SAU;Saudi Arabia;Riyadh;24.633333,46.716667
CYN;Northern Cyprus;North Nicosia;35.177011,33.36324
CYP;Cyprus;Nicosia;35.1725,33.365
MAR;Morocco;Rabat;34.020882,-6.84165
EGY;Egypt;Cairo;30.033333,31.233333
LBY;Libya;Tripoli;32.887222,13.191389
ETH;Ethiopia;Addis Ababa;9.03,38.74	
DJI;Djibouti;Djibouti;11.588333,43.145
SOL;Somaliland;Hargeisa;9.563056,44.0675
UGA;Uganda;Kampala;0.313611,32.581111
RWA;Rwanda;Kigali;-1.943889,30.059444
BIH;Bosnia and Herzegovina;Sarajevo;43.866667,18.416667
MKD;Macedonia;Skopje;42,21.433333
SRS;Serbia;Belgrade;44.816667,20.466667
MNE;Montenegro;Podgorica;42.441286,19.262892
KOS;Kosovo;Pristina;42.666667,21.166667
TTO;Trinidad and Tobago;Port of Spain;10.666667,-61.516667
WLS;Wales;Cardiff;51.483333,-3.183333
SCT;Scotland;Edinburgh;55.953,-3.189
SDS;South Sudan;Juba;4.85,31.6
